Company,Month,Service,Campaign,Paid,Percent,Spend,Spent,Impressions,Clicks,CRT
Parkside Dental,NOV,Dentist,Paid Search,1000,0.6,600,374.48,851,50,0.058754407
Pink Monarch,NOV,Medical,Paid Search,240,0.6,144,105.81,350,24,0.068571429
Piano Crafters,NOV,Retail,Paid Search,850,0.6,510,427.79,3684,160,0.043431053
Platinum Roofing ,NOV,Roofing,Paid Search,1500,0.6,0,688.03,805,64,0.079503106
PRMC,NOV,Real Estate,Paid Search,0,0.6,0,0,0,0,0
ProGuard 563,NOV,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Reliance Home Services,NOV,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Reliable Pool Enclosures,NOV,Fencing,Paid Search,1500,0.6,900,732.24,6233,176,0.028236804
Rusty's  Floor Coverings,NOV,Flooring,Paid Search,0,0.6,0,0,0,0,0
Servpro CDW,NOV,Restoration & Cleaning,Paid Search,1200,0.6,720,0,7,0,0
"Servpro Harris, Meriwether, & Stewart",NOV,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,NOV,Restoration & Cleaning,Paid Search,700,0.6,420,299.59,5846,163,0.027882313
Shred A Way,NOV,Office Supply,Paid Search,1400,0.6,840,259.3,1639,38,0.023184869
Smiths Radiator,NOV,Tire & Auto,Paid Search,1000,0.6,600,423.89,2711,83,0.030616009
Southern Services Carpet,NOV,Flooring,Paid Search,500,0.6,300,162.19,649,33,0.050847458
Southern Scarlett,NOV,Retail,Paid Search,500,0.6,300,0,0,0,0
Superior Plumbing,NOV,Plumbing,Paid Search,1500,0.6,900,643.2,1252,59,0.047124601
Synovus Minority Birmingham,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Naples,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Atlanta,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Sarasota,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Mobile,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Orlando,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Cape Coral,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Hilton Head,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Albany Branding ,NOV,Banking,Paid Search,200,0.6,120,36.13,356,49,0.137640449
Synovus Mobile Branding ,NOV,Banking,Paid Search,150,0.6,90,34.5,1025,26,0.025365854
Synovus Tifton Branding ,NOV,Banking,Paid Search,150,0.6,90,16.51,78,1,0.012820513
Synovus Sarasota Branding,NOV,Banking,Paid Search,200,0.6,120,89.75,975,30,0.030769231
Synovus Warner Robins Branding ,NOV,Banking,Paid Search,120,0.6,72,55.9,601,36,0.059900166
Synovus Valdosta Branding ,NOV,Banking,Paid Search,0,0.6,0,22.18,467,61,0.130620985
Synovus Stockbrokers Caribbean ,NOV,Banking,Paid Search,50,0.6,30,11.86,624,12,0.019230769
Synovus Stockbrokers Wellington ,NOV,Banking,Paid Search,150,0.6,90,92.05,947,28,0.029567054
Synovus Stockbrokers Palm Harbor ,NOV,Banking,Paid Search,150,0.6,90,72.45,855,24,0.028070175
Synovus Stockbrokers Vanderbilt ,NOV,Banking,Paid Search,100,0.6,60,43.92,756,19,0.025132275
Synovus Stockbrokers Sarasota ,NOV,Banking,Paid Search,100,0.6,60,0,0,0,0
Tadlock Roofing,NOV,Roofing,Paid Search,1400,0.6,840,529.42,1116,19,0.01702509
The Roofing Guys,NOV,Roofing,Paid Search,4000,0.6,2400,79.57,633,10,0.015797788
Tires First - Aletheia,NOV,Tire & Auto,Paid Search,500,0.6,300,293.51,1033,41,0.039690223
Top Notch Cleaning,NOV,Restoration & Cleaning,Paid Search,1500,0.6,900,705.34,1689,66,0.039076377
Transmission Plus / AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,1390,0.6,834,825.5,4788,166,0.034670008
AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,1050,0.6,630,402.68,1781,154,0.086468276
Tyler Home Improvement,NOV,Home Improvement,Paid Search,1000,0.6,600,546.58,897,34,0.037904125
Tuscan Rose Vineyards,NOV,Winery,Paid Search,0,0.6,0,0,0,0,0
Watson Plumbing,NOV,Plumbing,Paid Search,500,0.6,300,201.69,545,25,0.04587156
Warrior Restoration,NOV,Buildings,Paid Search,1000,0.6,600,18.1,133,1,0.007518797
West GA Custom Fence,NOV,Fencing,Paid Search,1000,0.6,600,323.37,1343,80,0.059568131
West Georgia Eye Care,NOV,Medical,Paid Search,500,0.6,300,157.44,1422,69,0.048523207
WK Eye - The Cataract Surgeons,NOV,Medical,Paid Search,2700,0.6,1620,1170.88,3588,150,0.04180602
Adams Family Dentistry,SEPT,Dentist,Paid Search,600,0.6,360,288.03,2012,68,0.033797217
AirLogic,SEPT,HVAC,Paid Search,2000,0.6,1200,1139.36,5040,128,0.025396825
Aletheia Digital,SEPT,Marketing,Paid Search,0,0.6,0,0,0,0,0
Apex Roofing,SEPT,Roofing,Paid Search,1000,0.6,600,600.29,5055,90,0.017804154
ASP Pools ,SEPT,Landscaping & Pools,Paid Search,400,0.6,240,0,0,0,0
Avery Roof Services,SEPT,Roofing,Paid Search,0,0.6,0,0,0,0,0
Beracah Homes,SEPT,Housing,Paid Search,1100,0.6,660,663.09,1553,196,0.126207341
Best Choice Plumbing,SEPT,"Plumbing, HVAC",Paid Search,1000,0.6,600,357.54,1175,72,0.061276596
Brothers Gutters,SEPT,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Butts Mill Farm ,SEPT,Entertainment,Paid Search,0,0.6,0,0,0,0,0
Buzzell Plumbing Heating & AC,SEPT,"Plumbing, HVAC",Paid Search,2101,0.6,1260.6,1137.77,6432,240,0.037313433
Cash Plumbing,SEPT,"Plumbing, HVAC",Paid Search,600,0.6,360,1133.91,2800,28,0.01
Cheap Cheap Trees,SEPT,Tree Service,Paid Search,0,0.6,0,0,0,0,0
Childress Dental,SEPT,Dentist,Paid Search,1000,0.6,600,456.01,1498,63,0.042056075
Chris Moore Roofing,SEPT,Roofing,Paid Search,1000,0.6,600,587.99,1526,53,0.034731324
Claim Adjusters,SEPT,Insurance,Paid Search,1000,0.6,600,600.69,2409,70,0.0290577
Columbus Hospice,SEPT,Medical,Paid Search,1500,0.6,900,943.24,4188,341,0.081423114
Complete Tire,SEPT,Tire & Auto,Paid Search,1400,0.6,840,977.59,4141,187,0.045158174
Containers by Reaves,SEPT,Waste Management,Paid Search,1000,0.6,600,610.43,2529,165,0.065243179
Custom Home Furniture,SEPT,Furniture,Paid Search,0,0.6,0,0,0,0,0
Custom Home Sleep Shop,SEPT,Furniture,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,SEPT,Plumbing,Paid Search,350,0.6,210,143.56,236,16,0.06779661
Economy Air,SEPT,HVAC,Paid Search,1000,0.6,600,481.17,1173,40,0.034100597
Elements Lawn & Pest,SEPT,Landscaping & Pools,Paid Search,1500,0.6,900,951.01,3089,93,0.030106831
Elite Tree Service,SEPT,Tree Service,Paid Search,700,0.6,420,421.9,1412,56,0.039660057
E&S Clothing Warehouse,SEPT,Retail,Paid Search,0,0.6,0,0,0,0,0
Fairway Carts - EZ Go,SEPT,Golfing,Paid Search,400,0.6,240,236.03,886,48,0.054176072
Fence Doctor,SEPT,Fencing,Paid Search,500,0.6,300,293.04,2260,101,0.044690265
Five Star Painting ,SEPT,Fencing,Paid Search,0,0.6,0,0,0,0,0
Fosters Tree Service,SEPT,Tree Service,Paid Search,700,0.6,420,793.65,1746,39,0.02233677
Funderburk & Lane,SEPT,Lawyer,Paid Search,1000,0.6,600,521.93,994,36,0.036217304
Green Team Dumpster Rentals,SEPT,Waste Management,Paid Search,500,0.6,300,296.5,2273,49,0.021557413
Gutter Perfection,SEPT,Roofing,Paid Search,1200,0.6,720,630.21,5218,100,0.019164431
iAct BIO Pediactric Diabetes Mellitus,SEPT,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Cardiomyopathy Trial,SEPT,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Celiac Disease,SEPT,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Incyte Ped Eczema,SEPT,Clinical Trials,Paid Search,0,0.6,0,20.18,307,12,0.039087948
iAct Lung Cancer,SEPT,Clinical Trials,Paid Search,0,0.6,0,60.84,428,24,0.056074766
iAct Lung Cancer Two,SEPT,Clinical Trials,Paid Search,0,0.6,0,80.91,834,32,0.038369305
iAct Galera Oral Mucositis,SEPT,Clinical Trials,Paid Search,167,0.6,100.2,128.43,1970,31,0.015736041
iAct Skin Infection,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Pfizer AD ,SEPT,Clinical Trials,Paid Search,320,0.6,192,106.5,1013,35,0.034550839
iAct Ulcerative Colitis ,SEPT,Clinical Trials,Paid Search,167,0.6,100.2,81.9,923,42,0.045503792
iAct Ulcerative Shire,SEPT,Clinical Trials,Paid Search,0,0.6,0,74.83,1191,32,0.026868178
iAct Vivus Adolescent Obes,SEPT,Clinical Trials,Paid Search,0,0.6,0,42.5,323,28,0.086687307
JAE of America,SEPT,Banking,Paid Search,0,0.6,0,0,0,0,0
Law Office of Sherry L. Johnson,SEPT,Lawyer,Paid Search,1000,0.6,600,299.75,1697,43,0.025338833
Law Office of Shanna Rose,SEPT,Lawyer,Paid Search,400,0.6,240,200.18,588,30,0.051020408
Majestic Carpet,SEPT,Flooring,Paid Search,625,0.6,375,345.45,1075,43,0.04
Magic Bubbles,SEPT,Cleaning,Paid Search,0,0.6,0,0,0,0,0
Maps.org,SEPT,Roofing,Paid Search,0,0.6,0,0,0,0,0
Matt's Roofing & Gutters,SEPT,Roofing,Paid Search,4050,0.6,2430,2185.78,11101,196,0.017656067
Martin Brothers Body Works,SEPT,Tire & Auto,Paid Search,500,0.6,300,287.69,2251,64,0.028431808
McGuire's Portable Buildings,SEPT,Buildings,Paid Search,1800,0.6,1080,1039.96,5618,379,0.06746173
Mid-Georgia Garage DoorsMid- GA SEM,SEPT,Buildings,Paid Search,2000,0.6,1200,1338.64,4811,158,0.032841405
Midtown OB,SEPT,Medical,Paid Search,375,0.6,225,220.73,641,42,0.065522621
Mold Zero,SEPT,Home Improvement,Paid Search,6500,0.6,3900,4828.65,9903,232,0.023427244
Muse Kitchen & Bath,SEPT,Home Improvement,Paid Search,0,0.6,0,0,0,0,0
NATSB,SEPT,Employment,Paid Search,0,0.6,0,0,0,0,0
Northridge Vet,SEPT,Veterinary,Paid Search,1000,0.6,600,0,0,0,0
Overby Company,SEPT,Office Supply,Paid Search,400,0.6,240,216.71,3063,34,0.011100229
Overhead Door Company,SEPT,Garage Door,Paid Search,1500,0.6,900,892.16,4814,199,0.041337765
Overhead Door Pensacola,SEPT,Garage Door,Paid Search,5000,0.6,3000,149.88,2376,62,0.026094276
Overhead Door Montgomery,SEPT,Garage Door,Paid Search,1500,0.6,900,850.16,1016,61,0.06003937
Overhead Door -Watertown,SEPT,Garage Door,Paid Search,500,0.6,300,282.25,1877,92,0.049014385
Parkside Dental,SEPT,Dentist,Paid Search,1000,0.6,600,652.92,1910,84,0.043979058
Pink Monarch,SEPT,Medical,Paid Search,240,0.6,144,149.99,421,32,0.076009501
Piano Crafters,SEPT,Retail,Paid Search,0,0.6,0,0,0,0,0
Platinum Roofing ,SEPT,,Paid Search,1500,0.6,900,8.44,110,5,0.045454545
PRMC,SEPT,Real Estate,Paid Search,0,0.6,0,0,0,0,0
ProGuard 563,SEPT,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Reliance Home Services,SEPT,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Reliable Pool Enclosures,SEPT,,Paid Search,1500,0.6,900,940.89,8191,323,0.039433525
Rusty's  Floor Coverings,SEPT,Flooring,Paid Search,500,0.6,300,84.98,1152,20,0.017361111
Servpro CDW,SEPT,Restoration & Cleaning,Paid Search,1200,0.6,720,147.8,326,10,0.030674847
"Servpro Harris, Meriwether, & Stewart",SEPT,,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,SEPT,Restoration & Cleaning,Paid Search,700,0.6,420,379.33,5208,119,0.022849462
Shred A Way,SEPT,Office Supply,Paid Search,1400,0.6,840,806.13,2781,93,0.033441208
Smiths Radiator,SEPT,Tire & Auto,Paid Search,1000,0.6,600,548.55,3598,133,0.036964981
Southern Services Carpet,SEPT,Flooring,Paid Search,500,0.6,300,267.68,286,27,0.094405594
Southern Scarlett,SEPT,Retail,Paid Search,500,0.6,300,193.08,15110,261,0.017273329
Superior Plumbing,SEPT,Plumbing,Paid Search,1500,0.6,900,1197.3,1417,56,0.039520113
Synovus Minority Birmingham,SEPT,Banking,Paid Search,100,0.6,60,58.28,407,30,0.073710074
Synovus Minority Naples,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Atlanta,SEPT,Banking,Paid Search,100,0.6,60,57.91,254,31,0.122047244
Synovus Minority Sarasota,SEPT,Banking,Paid Search,100,0.6,60,53.77,315,29,0.092063492
Synovus Minority Mobile,SEPT,Banking,Paid Search,100,0.6,60,55.73,405,34,0.083950617
Synovus Minority Orlando,SEPT,Banking,Paid Search,100,0.6,60,50.21,386,32,0.082901554
Synovus Minority Cape Coral,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Minority Hilton Head,SEPT,Banking,Paid Search,100,0.6,60,51.84,321,27,0.08411215
Synovus Albany Branding ,SEPT,Banking,Paid Search,200,0.6,120,96.52,1371,205,0.149525894
Synovus Mobile Branding ,SEPT,Banking,Paid Search,0,0.6,0,0,0,0,0
Synovus Tifton Branding ,SEPT,Banking,Paid Search,150,0.6,90,57.64,755,67,0.088741722
Synovus Sarasota Branding,SEPT,Banking,Paid Search,200,0.6,120,138.4,1249,35,0.028022418
Synovus Warner Robins Branding ,SEPT,Banking,Paid Search,120,0.6,72,59.85,701,66,0.094151213
Synovus Valdosta Branding ,SEPT,Banking,Paid Search,0,0.6,0,44.93,523,68,0.13001912
Synovus Stockbrokers Caribbean ,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Stockbrokers Wellington ,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Stockbrokers Palm Harbor ,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Stockbrokers Vanderbilt ,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Synovus Stockbrokers Sarasota ,SEPT,Banking,Paid Search,100,0.6,60,0,0,0,0
Tadlock Roofing,SEPT,Roofing,Paid Search,0,0.6,0,0,0,0,0
The Roofing Guys,SEPT,Roofing,Paid Search,4000,0.6,2400,2244.9,19452,332,0.017067654
Tires First - Aletheia,SEPT,Tire & Auto,Paid Search,500,0.6,300,300.61,1593,61,0.03829253
Top Notch Cleaning,SEPT,Restoration & Cleaning,Paid Search,500,0.6,300,225.91,1173,44,0.037510656
Transmission Plus / AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,1390,0.6,834,958.36,6011,180,0.029945101
AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,1050,0.6,630,646.75,2603,256,0.09834806
Tyler Home Improvement,SEPT,Home Improvement,Paid Search,1000,0.6,600,578.05,1116,30,0.02688172
Tuscan Rose Vineyards,SEPT,Winery,Paid Search,0,0.6,0,0,0,0,0
Watson Plumbing,SEPT,Plumbing,Paid Search,500,0.6,300,298.94,893,39,0.043673012
Warrior Restoration,SEPT,Buildings,Paid Search,0,0.6,0,0,0,0,0
West GA Custom Fence,SEPT,Fencing,Paid Search,1000,0.6,600,575.9,2483,132,0.053161498
West Georgia Eye Care,SEPT,Medical,Paid Search,500,0.6,300,317.94,1793,96,0.05354155
Adams Family Dentistry,AUG,Dentist,Paid Search,600,0.6,360,263.75,2094,58,0.027698185
AirLogic,AUG,HVAC,Paid Search,2000,0.6,1200,1096,6018,109,0.01811233
Aletheia Digital,AUG,Marketing,Paid Search,0,0.6,0,0,0,0,0
Apex Roofing,AUG,Roofing,Paid Search,1000,0.6,600,618.28,4577,102,0.02228534
ASP Pools ,AUG,Landscaping & Pools,Paid Search,400,0.6,240,147.04,422,30,0.071090047
Avery Roof Services,AUG,Roofing,Paid Search,0,0.6,0,0,0,0,0
Beracah Homes,AUG,Housing,Paid Search,1100,0.6,660,661.31,1682,223,0.132580262
Best Choice Plumbing,AUG,"Plumbing, HVAC",Paid Search,1000,0.6,600,761.95,1875,108,0.0576
Brothers Gutters,AUG,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Butts Mill Farm ,AUG,,Paid Search,0,0.6,0,0,0,0,0
Buzzell Plumbing Heating & AC,AUG,"Plumbing, HVAC",Paid Search,2101,0.6,1260.6,1350.73,10434,290,0.027793751
Cash Plumbing,AUG,"Plumbing, HVAC",Paid Search,600,0.6,360,295.34,1794,13,0.007246377
Cheap Cheap Trees,AUG,,Paid Search,0,0.6,0,0,0,0,0
Childress Dental,AUG,Dentist,Paid Search,1000,0.6,600,737.52,2620,87,0.033206107
Chris Moore Roofing,AUG,Roofing,Paid Search,1000,0.6,600,584.16,1516,56,0.036939314
Claim Adjusters,AUG,,Paid Search,0,0.6,0,398.75,1006,28,0.027833002
Columbus Hospice,AUG,Medical,Paid Search,1500,0.6,900,908.39,4574,348,0.076082204
Complete Tire,AUG,Tire & Auto,Paid Search,1000,0.6,600,489.57,2897,116,0.040041422
Containers by Reaves,AUG,Waste Management,Paid Search,1000,0.6,600,593,2827,152,0.053767244
Custom Home Furniture,AUG,,Paid Search,0,0.6,0,0,0,0,0
Custom Home Sleep Shop,AUG,,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,AUG,Plumbing,Paid Search,350,0.6,210,161.84,475,27,0.056842105
Economy Air,AUG,HVAC,Paid Search,1000,0.6,600,338.04,815,33,0.040490798
Elements Lawn & Pest,AUG,Landscaping & Pools,Paid Search,1500,0.6,900,1164.62,3653,91,0.024911032
Elite Tree Service,AUG,Tree Service,Paid Search,700,0.6,420,442.53,1474,56,0.037991859
E&S Clothing Warehouse,AUG,,Paid Search,0,0.6,0,0,0,0,0
Fairway Carts - EZ Go,AUG,Golfing,Paid Search,400,0.6,240,246.61,1463,61,0.041695147
Fence Doctor,AUG,Fencing,Paid Search,500,0.6,300,275.84,2163,84,0.038834951
Five Star Painting ,AUG,,Paid Search,0,0.6,0,0,0,0,0
Fosters Tree Service,AUG,Tree Service,Paid Search,700,0.6,420,241.22,1442,22,0.015256588
Funderburk & Lane,AUG,Lawyer,Paid Search,1000,0.6,600,701.98,1099,46,0.041856233
Green Team Dumpster Rentals,AUG,Waste Management,Paid Search,500,0.6,300,406.55,3074,79,0.025699414
Gutter Perfection,AUG,Roofing,Paid Search,1200,0.6,720,722.33,4205,119,0.028299643
iAct BIO Pediactric Diabetes Mellitus,AUG,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Cardiomyopathy Trial,AUG,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Celiac Disease,AUG,Clinical Trials,Paid Search,125,0.6,75,0,0,0,0
iAct Incyte Ped Eczema,AUG,Clinical Trials,Paid Search,0,0.6,0,55,845,18,0.021301775
iAct Lung Cancer,AUG,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Lung Cancer Two,AUG,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Galera Oral Mucositis,AUG,Clinical Trials,Paid Search,167,0.6,100.2,9.11,139,4,0.028776978
iAct Skin Infection,AUG,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Pfizer AD ,AUG,Clinical Trials,Paid Search,320,0.6,192,80.03,1440,25,0.017361111
iAct Ulcerative Colitis ,AUG,Clinical Trials,Paid Search,167,0.6,100.2,86.53,1875,51,0.0272
iAct Ulcerative Shire,AUG,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Vivus Adolescent Obes,AUG,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
JAE of America,AUG,,Paid Search,0,0.6,0,0,0,0,0
Law Office of Sherry L. Johnson,AUG,Lawyer,Paid Search,1000,0.6,600,602.3,2272,61,0.026848592
Law Office of Shanna Rose,AUG,,Paid Search,500,0.6,300,302.45,1212,40,0.0330033
Majestic Carpet,AUG,Flooring,Paid Search,625,0.6,375,355.3,973,45,0.046248715
Magic Bubbles,AUG,Cleaning,Paid Search,0,0.6,0,0,0,0,0
Maps.org,AUG,Roofing,Paid Search,0,0.6,0,0,0,0,0
Matt's Roofing & Gutters,AUG,Roofing,Paid Search,4050,0.6,2430,1338.16,6828,119,0.017428237
Martin Brothers Body Works,AUG,Tire & Auto,Paid Search,500,0.6,300,402.26,2285,94,0.041137856
McGuire's Portable Buildings,AUG,Buildings,Paid Search,1800,0.6,1080,1064.34,6055,398,0.065730801
Mid-Georgia Garage DoorsMid- GA SEM,AUG,Buildings,Paid Search,2000,0.6,1200,1295.37,4747,145,0.030545608
Midtown OB,AUG,Medical,Paid Search,375,0.6,225,193.64,919,49,0.053318825
Mold Zero,AUG,Home Improvement,Paid Search,6500,0.6,3900,5260.91,10801,251,0.023238589
Muse Kitchen & Bath,AUG,Home Improvement,Paid Search,0,0.6,0,0,0,0,0
